OSEBuildingID,PrimaryPropertyType,PropertyName,Address,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,BuildingAge,parking_area_prcnt,largest_property_GFA_prcnt,PropertyGFATotal_log,PropertyGFABuilding(s)_log,LargestPropertyUseTypeGFA_log,TotalGHGEmissions_log,SiteEnergyUse(kBtu)_log
25711,Other,BUSH GARDEN - RESTURANT & LOUNGE,614 S MAYNARD AVE S,98104,5247802410,2,downtown,47.59697,-122.32474,1.0,3.0,28800,0,28800,Other,28800.0,,,,,,62.36363636363637,31.20000076,32.5,62.0,62.79999924,899924.1875,935833.1875,0.0,402907.0,497017.0,False,,Compliant,,29.21,1.01,110,0.0,1.0,10.268130666124037,10.268130666124037,10.268130666124037,3.3745111163996495,13.710065802647277
25713,Small- and Mid-Sized Office,International Building,666 S. Dearborn St,98104,5247802530,2,downtown,47.59644,-122.32415,1.0,3.0,35202,0,35202,Office,24227.0,Bank Branch,9127.0,,,,2.0,108.0999985,108.0999985,339.5,339.5,3605755.5,3605755.5,0.0,3605755.0,0.0,False,,Compliant,,25.14,0.71,44,0.0,0.6882279415942276,10.468858178153916,10.468858178153916,10.095222992690658,3.2244602031621015,15.098041876786063
25743,Worship Facility,(ID25743) FIRST COVENANT CHURCH,400 E PIKE ST,98122,8725600475,3,east,47.61426,-122.32661,1.0,2.0,24600,0,24600,Worship Facility,24600.0,,,,,,69.0,13.5,14.10000038,36.09999847,38.0,331059.5,347690.5938,0.0,258312.0,72748.0,False,,Compliant,,5.66,0.23,113,0.0,1.0,10.110501721920453,10.110501721920453,10.110501721920453,1.7334238922150915,12.710053396512768
25745,Worship Facility,Trinity Parish of Seattle,609 8th Ave,98104,8590400490,3,east,47.60514,-122.32613,1.0,1.0,48850,0,48850,Worship Facility,28725.0,Office,4325.0,Other,3700.0,,64.19047619047619,28.89999962,34.29999924,47.40000153,53.79999924,1063480.5,1259282.25,815676.125,239923.0,7881.0,False,,Compliant,,65.05,1.33,123,0.0,0.5880245649948823,10.79650965747093,10.79650965747093,10.265523102716957,4.1751562049585145,13.877057577770266
25772,Medical Office,Park West Skilled Nursing,1703 California Ave SW,98116,9274200430,1,southwest,47.58767,-122.38672,1.1822985468956406,3.0,54863,0,54863,Other,109726.0,,,,,,100.0,18.60000038,18.79999924,58.29999924,59.09999847,2037720.625,2066851.25,0.0,2037720.0,0.0,False,,Compliant,,14.21,0.26,62,0.0,2.0,10.912594447648285,10.912594447648285,11.605741628208229,2.6539459421090092,14.527342400443649
25839,Warehouse,J D OTT COMPANY (115 S Lucile St),115 S Lucile St,98108,5263300725,2,greater duwamish,47.55317,-122.33289,1.0,1.0,25000,0,25000,Non-Refrigerated Warehouse,13393.0,Food Sales,7500.0,Office,4107.0,,54.54255319148936,79.59999847,81.80000305,155.6000061,157.8999939,1989103.875,2044286.625,0.0,861621.0,1127483.0,False,,Compliant,,65.89,2.64,59,0.0,0.53572,10.126631103850338,10.126631103850338,9.502487461387123,4.187986684925728,14.503194781208494
25842,Warehouse,115 Dawson,115 S Dawson St,98134,5263300910,2,greater duwamish,47.55544,-122.33294,1.0,1.0,25000,0,25000,Non-Refrigerated Warehouse,24000.0,Office,1000.0,,,,54.54255319148936,11.5,13.69999981,24.10000038,26.10000038,287132.5,342696.3125,0.0,143797.0,143335.0,False,,Compliant,,8.61,0.34,63,0.0,0.96,10.126631103850338,10.126631103850338,10.085809109330082,2.152924318439639,12.567699060677679
25844,Other,Washington machine Works,5201/5211 1st ave so.,98108,5263300985,2,greater duwamish,47.55523,-122.33448,1.0,1.0,22622,0,22622,Other,23000.0,,,,,,62.36363636363637,33.70000076,37.90000153,64.0,69.0,774075.6875,872014.3125,0.0,315436.0,458640.0,False,,Compliant,,26.56,1.17,96,0.0,1.0167093979312174,10.026678163091326,10.026678163091326,10.043249494911286,3.279406324608233,13.559424935258681
25847,Small- and Mid-Sized Office,Pine Building,400 East Pine Street,98122,8725600520,3,east,47.61543,-122.32657,1.0,3.0,27544,0,27544,Office,22365.0,Parking,3744.0,,,,94.0,46.09999847,48.79999924,124.0999985,127.0,1031667.5,1092060.75,0.0,810115.0,221553.0,False,,Compliant,,17.41,0.63,106,0.0,0.811973569561429,10.223540005018359,10.223540005018359,10.015252515866948,2.8570447537800976,13.84668698318684
25886,Small- and Mid-Sized Office,H2125 - Western Triangle,2125 Western Avenue,98121,9292600000,7,downtown,47.61161,-122.34592,1.0,7.0,47415,0,47415,Office,25884.0,Parking,7000.0,Multifamily Housing,5713.0,,67.31799163179916,43.40000153,45.59999847,136.3999939,143.1999969,1478979.25,1552850.625,0.0,1478979.0,0.0,False,,Compliant,,10.31,0.22,34,0.0,0.5459031951913951,10.766693913317829,10.766693913317829,10.161380296177157,2.333114298028869,14.206862711844687
25907,Other,Swedish Cultural Center,1920 Dexter Ave N,98109,9301300445,7,magnolia / queen anne,47.63644,-122.34218,1.0,3.0,22960,0,22960,Other,22960.0,,,,,,62.36363636363637,98.69999695,106.5999985,153.0,162.1999969,2266983.0,2447325.5,0.0,542327.0,1724655.0,False,,Compliant,,95.38,4.15,62,0.0,1.0,10.041508850433503,10.041508850433503,10.041508850433503,4.557868912870078,14.633960430564327
25914,Supermarket / Grocery Store,Safeway 1551 - E John St,1410 E John St,98112,6003501820,3,east,47.62048,-122.31386,1.0,1.0,44739,0,44739,Supermarket/Grocery Store,44739.0,Parking,0.0,,,,17.0,326.0,335.3999939,728.7000122,738.5999756,14585813.0,15006878.0,0.0,8270312.0,6315500.0,False,,Compliant,,393.07,8.79,25,0.0,1.0,10.708600883430892,10.708600883430892,10.708600883430892,5.973987713056649,16.495559901931312
25932,Mixed Use Property,SPBS LLC,5424 Sand Point Way NE,98105,6012500051,4,northeast,47.66816,-122.27706,1.0,1.0,22778,0,22778,Retail Store,21194.0,Office,12923.0,Restaurant,3720.0,,58.82608695652174,56.5,61.20000076,70.0,74.59999847,2470566.0,2675057.75,0.0,224359.0,2246207.0,False,,Compliant,,120.86,5.31,75,0.0,0.9304592150320484,10.033550436834297,10.033550436834297,9.961473401734782,4.794632850933413,14.719957832150927
25935,Worship Facility,Philadelphia church,7704 24th Ave NW,98117,6021503160,6,ballard,47.68517,-122.38733,1.0,2.0,21562,0,21562,Worship Facility,21052.0,Pre-school/Daycare,400.0,,,,20.0,40.40000153,46.59999847,60.90000153,68.30000305,866806.0,1000251.875,0.0,189790.0,677016.0,False,,Compliant,,37.28,1.73,67,0.0,0.9763472776180318,9.978687785099064,9.978687785099064,9.954750846473669,3.6184569898173904,13.672570470632381
25954,Other,MLK Community Center,3201 E Republican,98122,5317100295,3,central,47.62322,-122.29006,1.0,1.0,25753,0,25753,Other,25753.0,,,,,,62.36363636363637,53.5,62.59999847,75.0,85.30000305,1378130.25,1612521.0,0.0,231543.0,1146587.0,False,,Compliant,,62.51,2.43,64,0.0,1.0,10.156306404160087,10.156306404160087,10.156306404160087,4.135326543943721,14.136238247133901
